  18.37700:   25.87150337 x 10^(-38) cm2
  18.64600:   26.23705741 x 10^(-38) cm2
  18.92000:   26.61994183 x 10^(-38) cm2
  19.19700:   27.01917935 x 10^(-38) cm2
  19.47800:   27.42586747 x 10^(-38) cm2
  19.76400:   27.83959203 x 10^(-38) cm2
  20.05400:   28.24515935 x 10^(-38) cm2
  20.34800:   28.64167284 x 10^(-38) cm2
  20.64600:   29.02480459 x 10^(-38) cm2
  20.94900:   29.41010594 x 10^(-38) cm2
  21.25600:   29.79741701 x 10^(-38) cm2
  21.56800:   30.19416843 x 10^(-38) cm2
  21.88400:   30.60674986 x 10^(-38) cm2
  22.20500:   31.03595749 x 10^(-38) cm2
  22.53100:   31.48128375 x 10^(-38) cm2
  22.86100:   31.93073504 x 10^(-38) cm2
  23.19600:   32.38097711 x 10^(-38) cm2
  23.53600:   32.82743117 x 10^(-38) cm2
  23.88100:   33.27268112 x 10^(-38) cm2
  24.23200:   33.71545881 x 10^(-38) cm2
  24.58700:   34.16311793 x 10^(-38) cm2
  24.94700:   34.62331335 x 10^(-38) cm2
  25.31300:   35.10367996 x 10^(-38) cm2
  25.68400:   35.60168569 x 10^(-38) cm2
  26.06100:   36.12173038 x 10^(-38) cm2
  26.44300:   36.64523863 x 10^(-38) cm2
  26.83100:   37.18008845 x 10^(-38) cm2
  27.22400:   37.71847817 x 10^(-38) cm2
  27.62300:   38.25921746 x 10^(-38) cm2
  28.02800:   38.79627752 x 10^(-38) cm2
  28.43900:   39.33775209 x 10^(-38) cm2
  28.85600:   39.88198499 x 10^(-38) cm2
  29.27900:   40.43640593 x 10^(-38) cm2
  29.70900:   41.00266050 x 10^(-38) cm2
  30.14400:   41.57088167 x 10^(-38) cm2
  30.58600:   42.15102368 x 10^(-38) cm2
  31.03500:   42.73687325 x 10^(-38) cm2
  31.49000:   43.33039368 x 10^(-38) cm2
  31.95200:   43.93301264 x 10^(-38) cm2
  32.42000:   44.54709628 x 10^(-38) cm2
  32.89600:   45.17213084 x 10^(-38) cm2
  33.37800:   45.80881805 x 10^(-38) cm2
  33.86700:   46.45664163 x 10^(-38) cm2
  34.36400:   47.11129668 x 10^(-38) cm2
  34.86800:   47.77505188 x 10^(-38) cm2
  35.37900:   48.46110837 x 10^(-38) cm2
  35.89800:   49.15701700 x 10^(-38) cm2
  36.42400:   49.87867504 x 10^(-38) cm2
  36.95800:   50.62164957 x 10^(-38) cm2
  37.50000:   51.38229915 x 10^(-38) cm2
  38.05000:   52.15240497 x 10^(-38) cm2
  38.60800:   52.92771046 x 10^(-38) cm2
  39.17400:   53.69602348 x 10^(-38) cm2
  39.74800:   54.46543572 x 10^(-38) cm2
  40.33100:   55.23759139 x 10^(-38) cm2
  40.92300:   56.01699792 x 10^(-38) cm2
  41.52300:   56.80989264 x 10^(-38) cm2
  42.13100:   57.61731406 x 10^(-38) cm2
  42.74900:   58.44090830 x 10^(-38) cm2
  43.37600:   59.27677836 x 10^(-38) cm2
  44.01200:   60.12727963 x 10^(-38) cm2
  44.65700:   60.98230865 x 10^(-38) cm2
  45.31200:   61.84713044 x 10^(-38) cm2
  45.97700:   62.72309068 x 10^(-38) cm2
  46.65100:   63.61239971 x 10^(-38) cm2
  47.33500:   64.52221778 x 10^(-38) cm2
  48.02900:   65.44419780 x 10^(-38) cm2
  48.73300:   66.38652512 x 10^(-38) cm2
  49.44800:   67.34072421 x 10^(-38) cm2
  50.17300:   68.31296687 x 10^(-38) cm2
  50.90800:   69.30140332 x 10^(-38) cm2
  51.65500:   70.30261259 x 10^(-38) cm2
  52.41200:   71.32062723 x 10^(-38) cm2
  53.18100:   72.35598434 x 10^(-38) cm2
  53.96000:   73.40871855 x 10^(-38) cm2
  54.75200:   74.48351504 x 10^(-38) cm2
  55.55400:   75.57447475 x 10^(-38) cm2
  56.36900:   76.67934857 x 10^(-38) cm2
  57.19600:   77.79840636 x 10^(-38) cm2
  58.03400:   78.93291222 x 10^(-38) cm2
  58.88500:   80.07266461 x 10^(-38) cm2
  59.74900:   81.21912073 x 10^(-38) cm2
  60.62500:   82.37224201 x 10^(-38) cm2
  61.51400:   83.53688176 x 10^(-38) cm2
  62.41600:   84.72115159 x 10^(-38) cm2
  63.33100:   85.92280995 x 10^(-38) cm2
  64.25900:   87.15763688 x 10^(-38) cm2
  65.20200:   88.42110194 x 10^(-38) cm2
  66.15800:   89.71256703 x 10^(-38) cm2
  67.12800:   91.02662557 x 10^(-38) cm2
  68.11200:   92.35635666 x 10^(-38) cm2
  69.11100:   93.70469978 x 10^(-38) cm2
  70.12400:   95.07146436 x 10^(-38) cm2
  71.15200:   96.44587464 x 10^(-38) cm2
  72.19500:   97.83517258 x 10^(-38) cm2
  73.25400:   99.24100384 x 10^(-38) cm2
  74.32800:  100.66519095 x 10^(-38) cm2
