  39.78300:  345.96605610 x 10^(-38) cm2
  40.36600:  350.56398973 x 10^(-38) cm2
  40.95800:  355.21200440 x 10^(-38) cm2
  41.55800:  359.93057448 x 10^(-38) cm2
  42.16700:  364.74024148 x 10^(-38) cm2
  42.78500:  369.63698507 x 10^(-38) cm2
  43.41200:  374.63523193 x 10^(-38) cm2
  44.04800:  379.73666009 x 10^(-38) cm2
  44.69400:  384.92998359 x 10^(-38) cm2
  45.34900:  390.23243371 x 10^(-38) cm2
  46.01300:  395.65153294 x 10^(-38) cm2
  46.68700:  401.17233603 x 10^(-38) cm2
  47.37200:  406.79263305 x 10^(-38) cm2
  48.06600:  412.49302272 x 10^(-38) cm2
  48.77000:  418.25512633 x 10^(-38) cm2
  49.48500:  424.05018028 x 10^(-38) cm2
  50.21000:  429.90398362 x 10^(-38) cm2
  50.94600:  435.79456410 x 10^(-38) cm2
  51.69300:  441.73275625 x 10^(-38) cm2
  52.45000:  447.73001987 x 10^(-38) cm2
  53.21900:  453.79020656 x 10^(-38) cm2
  53.99900:  459.93285308 x 10^(-38) cm2
  54.79000:  466.17033377 x 10^(-38) cm2
  55.59300:  472.49311530 x 10^(-38) cm2
  56.40800:  478.91434318 x 10^(-38) cm2
  57.23400:  485.43276785 x 10^(-38) cm2
  58.07300:  492.03175853 x 10^(-38) cm2
  58.92400:  498.70281206 x 10^(-38) cm2
  59.78800:  505.43223565 x 10^(-38) cm2
  60.66400:  512.21192462 x 10^(-38) cm2
  61.55300:  519.05457397 x 10^(-38) cm2
  62.45500:  526.00722676 x 10^(-38) cm2
  63.37000:  533.08014107 x 10^(-38) cm2
  64.29900:  540.32792659 x 10^(-38) cm2
  65.24100:  547.77542482 x 10^(-38) cm2
  66.19700:  555.41220711 x 10^(-38) cm2
  67.16700:  563.20055911 x 10^(-38) cm2
  68.15200:  571.09779481 x 10^(-38) cm2
  69.15000:  579.06721877 x 10^(-38) cm2
  70.16400:  587.06457515 x 10^(-38) cm2
  71.19200:  595.04863212 x 10^(-38) cm2
  72.23500:  603.03745498 x 10^(-38) cm2
  73.29400:  611.03981140 x 10^(-38) cm2
  74.36800:  619.06388954 x 10^(-38) cm2
  75.45800:  627.11931944 x 10^(-38) cm2
  76.56400:  635.24058011 x 10^(-38) cm2
  77.68600:  643.49648707 x 10^(-38) cm2
  78.82400:  651.97072526 x 10^(-38) cm2
  79.97900:  660.73640187 x 10^(-38) cm2
  81.15100:  669.88613650 x 10^(-38) cm2
  82.34100:  679.42733838 x 10^(-38) cm2
  83.54700:  689.35969004 x 10^(-38) cm2
  84.77200:  699.57947663 x 10^(-38) cm2
  86.01400:  710.00624930 x 10^(-38) cm2
  87.27400:  720.53990052 x 10^(-38) cm2
  88.55300:  731.11001807 x 10^(-38) cm2
  89.85100:  741.67924997 x 10^(-38) cm2
  91.16800:  752.22281251 x 10^(-38) cm2
  92.50400:  762.69678857 x 10^(-38) cm2
  93.86000:  773.06389157 x 10^(-38) cm2
  95.23500:  783.34638817 x 10^(-38) cm2
  96.63100:  793.61390381 x 10^(-38) cm2
  98.04700:  803.94946128 x 10^(-38) cm2
  99.48400:  814.43836771 x 10^(-38) cm2
 100.94000:  825.15948428 x 10^(-38) cm2
 102.42000:  836.22448110 x 10^(-38) cm2
 103.92000:  847.64407268 x 10^(-38) cm2
 105.44000:  859.41382876 x 10^(-38) cm2
 106.99000:  871.48585845 x 10^(-38) cm2
 108.56000:  883.92389385 x 10^(-38) cm2
 110.15000:  896.69252097 x 10^(-38) cm2
 111.76000:  909.71138820 x 10^(-38) cm2
 113.40000:  922.78725606 x 10^(-38) cm2
 115.06000:  935.86319637 x 10^(-38) cm2
 116.75000:  948.71991096 x 10^(-38) cm2
 118.46000:  961.40348436 x 10^(-38) cm2
Erange 0.0 to 118.46 sum = 70830.9603065 x 10^(-38) cm^2
