  26.44300:   36.65514177 x 10^(-38) cm2
  26.83100:   37.19019009 x 10^(-38) cm2
  27.22400:   37.72878229 x 10^(-38) cm2
  27.62300:   38.26972813 x 10^(-38) cm2
  28.02800:   38.80699887 x 10^(-38) cm2
  28.43900:   39.34868835 x 10^(-38) cm2
  28.85600:   39.89314046 x 10^(-38) cm2
  29.27900:   40.44778501 x 10^(-38) cm2
  29.70900:   41.01426767 x 10^(-38) cm2
  30.14400:   41.58272150 x 10^(-38) cm2
  30.58600:   42.16310084 x 10^(-38) cm2
  31.03500:   42.74919249 x 10^(-38) cm2
  31.49000:   43.34295985 x 10^(-38) cm2
  31.95200:   43.94583069 x 10^(-38) cm2
  32.42000:   44.56017127 x 10^(-38) cm2
  32.89600:   45.18546792 x 10^(-38) cm2
  33.37800:   45.82242246 x 10^(-38) cm2
  33.86700:   46.47051874 x 10^(-38) cm2
  34.36400:   47.12545195 x 10^(-38) cm2
  34.86800:   47.78949089 x 10^(-38) cm2
  35.37900:   48.47583681 x 10^(-38) cm2
  35.89800:   49.17204067 x 10^(-38) cm2
  36.42400:   49.89399984 x 10^(-38) cm2
  36.95800:   50.63728156 x 10^(-38) cm2
  37.50000:   51.39824448 x 10^(-38) cm2
  38.05000:   52.16866992 x 10^(-38) cm2
  38.60800:   52.94430143 x 10^(-38) cm2
  39.17400:   53.71294701 x 10^(-38) cm2
  39.74800:   54.48269848 x 10^(-38) cm2
  40.33100:   55.25520018 x 10^(-38) cm2
  40.92300:   56.03495967 x 10^(-38) cm2
  41.52300:   56.82821443 x 10^(-38) cm2
  42.13100:   57.63600311 x 10^(-38) cm2
  42.74900:   58.45997197 x 10^(-38) cm2
  43.37600:   59.29622415 x 10^(-38) cm2
  44.01200:   60.14711521 x 10^(-38) cm2
  44.65700:   61.00254183 x 10^(-38) cm2
  45.31200:   61.86776919 x 10^(-38) cm2
  45.97700:   62.74414312 x 10^(-38) cm2
  46.65100:   63.63387415 x 10^(-38) cm2
  47.33500:   64.54412267 x 10^(-38) cm2
  48.02900:   65.46654177 x 10^(-38) cm2
  48.73300:   66.40931697 x 10^(-38) cm2
  49.44800:   67.36397291 x 10^(-38) cm2
  50.17300:   68.33668159 x 10^(-38) cm2
  50.90800:   69.32559339 x 10^(-38) cm2
  51.65500:   70.32728756 x 10^(-38) cm2
  52.41200:   71.34579679 x 10^(-38) cm2
  53.18100:   72.38165842 x 10^(-38) cm2
  53.96000:   73.43490727 x 10^(-38) cm2
  54.75200:   74.51022871 x 10^(-38) cm2
  55.55400:   75.60172389 x 10^(-38) cm2
  56.36900:   76.70714391 x 10^(-38) cm2
  57.19600:   77.82675885 x 10^(-38) cm2
  58.03400:   78.96183303 x 10^(-38) cm2
  58.88500:   80.10216513 x 10^(-38) cm2
  59.74900:   81.24921259 x 10^(-38) cm2
  60.62500:   82.40293705 x 10^(-38) cm2
  61.51400:   83.56819207 x 10^(-38) cm2
  62.41600:   84.75308952 x 10^(-38) cm2
  63.33100:   85.95538807 x 10^(-38) cm2
  64.25900:   87.19086802 x 10^(-38) cm2
  65.20200:   88.45499920 x 10^(-38) cm2
  66.15800:   89.74714375 x 10^(-38) cm2
  67.12800:   91.06189538 x 10^(-38) cm2
  68.11200:   92.39233344 x 10^(-38) cm2
  69.11100:   93.74139770 x 10^(-38) cm2
  70.12400:   95.10889789 x 10^(-38) cm2
  71.15200:   96.48405852 x 10^(-38) cm2
  72.19500:   97.87412185 x 10^(-38) cm2
  73.25400:   99.28073384 x 10^(-38) cm2
  74.32800:  100.70571733 x 10^(-38) cm2
  75.41800:  102.14766256 x 10^(-38) cm2
  76.52400:  103.60961158 x 10^(-38) cm2
  77.64600:  105.09357244 x 10^(-38) cm2
  78.78400:  106.60814900 x 10^(-38) cm2
  79.94000:  108.15146881 x 10^(-38) cm2
  81.11200:  109.73457208 x 10^(-38) cm2
  82.30100:  111.34681815 x 10^(-38) cm2
  83.50800:  113.00962474 x 10^(-38) cm2
  84.73200:  114.70896117 x 10^(-38) cm2
  85.97500:  116.44627840 x 10^(-38) cm2
  87.23500:  118.21620017 x 10^(-38) cm2
  88.51400:  120.01577645 x 10^(-38) cm2
  89.81200:  121.83914622 x 10^(-38) cm2
  91.12900:  123.68192653 x 10^(-38) cm2
  92.46500:  125.53464462 x 10^(-38) cm2
  93.82100:  127.38650023 x 10^(-38) cm2
  95.19700:  129.23706426 x 10^(-38) cm2
  96.59300:  131.09416835 x 10^(-38) cm2
  98.00900:  132.96836417 x 10^(-38) cm2
  99.44600:  134.86796943 x 10^(-38) cm2
 100.90000:  136.79922531 x 10^(-38) cm2
 102.38000:  138.77942885 x 10^(-38) cm2
 103.88000:  140.81035812 x 10^(-38) cm2
 105.41000:  142.87525287 x 10^(-38) cm2
 106.95000:  144.99025764 x 10^(-38) cm2
 108.52000:  147.13596517 x 10^(-38) cm2
 110.11000:  149.31961855 x 10^(-38) cm2
 111.73000:  151.52441778 x 10^(-38) cm2
 113.37000:  153.76185788 x 10^(-38) cm2
 115.03000:  156.02447192 x 10^(-38) cm2
 116.71000:  158.29668162 x 10^(-38) cm2
 118.43000:  160.57862404 x 10^(-38) cm2
Erange 0.0 to 118.43 sum = 11208.3603096 x 10^(-38) cm^2
