  31.49000:    3.53512895 x 10^(-38) cm2
  31.95200:    3.58488622 x 10^(-38) cm2
  32.42000:    3.63557821 x 10^(-38) cm2
  32.89600:    3.68718748 x 10^(-38) cm2
  33.37800:    3.73955946 x 10^(-38) cm2
  33.86700:    3.79252888 x 10^(-38) cm2
  34.36400:    3.84611809 x 10^(-38) cm2
  34.86800:    3.90053304 x 10^(-38) cm2
  35.37900:    3.95607203 x 10^(-38) cm2
  35.89800:    4.01318218 x 10^(-38) cm2
  36.42400:    4.07233597 x 10^(-38) cm2
  36.95800:    4.13352738 x 10^(-38) cm2
  37.50000:    4.19625997 x 10^(-38) cm2
  38.05000:    4.25997505 x 10^(-38) cm2
  38.60800:    4.32407430 x 10^(-38) cm2
  39.17400:    4.38793329 x 10^(-38) cm2
  39.74800:    4.45144359 x 10^(-38) cm2
  40.33100:    4.51505332 x 10^(-38) cm2
  40.92300:    4.57924599 x 10^(-38) cm2
  41.52300:    4.64438516 x 10^(-38) cm2
  42.13100:    4.71079894 x 10^(-38) cm2
  42.74900:    4.77855574 x 10^(-38) cm2
  43.37600:    4.84742898 x 10^(-38) cm2
  44.01200:    4.91717566 x 10^(-38) cm2
  44.65700:    4.98772468 x 10^(-38) cm2
  45.31200:    5.05911373 x 10^(-38) cm2
  45.97700:    5.13145545 x 10^(-38) cm2
  46.65100:    5.20494936 x 10^(-38) cm2
  47.33500:    5.27980833 x 10^(-38) cm2
  48.02900:    5.35610745 x 10^(-38) cm2
  48.73300:    5.43377756 x 10^(-38) cm2
  49.44800:    5.51274539 x 10^(-38) cm2
  50.17300:    5.59294086 x 10^(-38) cm2
  50.90800:    5.67428861 x 10^(-38) cm2
  51.65500:    5.75682432 x 10^(-38) cm2
  52.41200:    5.84077144 x 10^(-38) cm2
  53.18100:    5.92628014 x 10^(-38) cm2
  53.96000:    6.01338056 x 10^(-38) cm2
  54.75200:    6.10209543 x 10^(-38) cm2
  55.55400:    6.19236172 x 10^(-38) cm2
  56.36900:    6.28388137 x 10^(-38) cm2
  57.19600:    6.37638643 x 10^(-38) cm2
  58.03400:    6.46970736 x 10^(-38) cm2
  58.88500:    6.56366690 x 10^(-38) cm2
  59.74900:    6.65813148 x 10^(-38) cm2
  60.62500:    6.75323926 x 10^(-38) cm2
  61.51400:    6.84929410 x 10^(-38) cm2
  62.41600:    6.94672074 x 10^(-38) cm2
  63.33100:    7.04598774 x 10^(-38) cm2
  64.25900:    7.14756811 x 10^(-38) cm2
  65.20200:    7.25166504 x 10^(-38) cm2
  66.15800:    7.35817537 x 10^(-38) cm2
  67.12800:    7.46674844 x 10^(-38) cm2
  68.11200:    7.57698119 x 10^(-38) cm2
  69.11100:    7.68844563 x 10^(-38) cm2
  70.12400:    7.80091269 x 10^(-38) cm2
  71.15200:    7.91440165 x 10^(-38) cm2
  72.19500:    8.02904050 x 10^(-38) cm2
  73.25400:    8.14497646 x 10^(-38) cm2
  74.32800:    8.26236639 x 10^(-38) cm2
  75.41800:    8.38125542 x 10^(-38) cm2
  76.52400:    8.50169483 x 10^(-38) cm2
  77.64600:    8.62401177 x 10^(-38) cm2
  78.78400:    8.74858579 x 10^(-38) cm2
  79.94000:    8.87582816 x 10^(-38) cm2
  81.11200:    9.00622305 x 10^(-38) cm2
  82.30100:    9.14011405 x 10^(-38) cm2
  83.50800:    9.27741891 x 10^(-38) cm2
  84.73200:    9.41799881 x 10^(-38) cm2
  85.97500:    9.56169696 x 10^(-38) cm2
