  91.12900:  229.05574247 x 10^(-38) cm2
  92.46500:  232.36859755 x 10^(-38) cm2
  93.82100:  235.66079282 x 10^(-38) cm2
  95.19700:  238.93717066 x 10^(-38) cm2
  96.59300:  242.21787211 x 10^(-38) cm2
  98.00900:  245.52675988 x 10^(-38) cm2
  99.44600:  248.88706404 x 10^(-38) cm2
 100.90000:  252.32249668 x 10^(-38) cm2
 102.38000:  255.86073836 x 10^(-38) cm2
 103.88000:  259.51214068 x 10^(-38) cm2
 105.41000:  263.26120346 x 10^(-38) cm2
 106.95000:  267.13410682 x 10^(-38) cm2
 108.52000:  271.11435588 x 10^(-38) cm2
 110.11000:  275.20819839 x 10^(-38) cm2
 111.73000:  279.35676057 x 10^(-38) cm2
 113.37000:  283.54841374 x 10^(-38) cm2
 115.03000:  287.73702122 x 10^(-38) cm2
 116.71000:  291.86086905 x 10^(-38) cm2
 118.43000:  295.89539111 x 10^(-38) cm2
Erange 0.0 to 118.43 sum = 21062.26186 x 10^(-38) cm^2
